year,harvest,cyield,production,imports,exports,consumption,loss,stocks
2016/17,10850,542,27000,2736,4550,24350,0,7880
2017/18,12400,509,29000,1700,5200,24700,0,8680
2018/19,12300,508,28700,1500,4400,25500,0,8980
2019/20,12546,520,29963,1495,4477,26172,0,9789
2020/21,12594,532,30794,1505,4820,26737,0,10531
2021/22,12752,544,31859,1532,5283,27321,0,11318
2022/23,13288,555,33875,1571,6657,27951,0,12156
2023/24,13304,566,34577,1610,7006,28583,0,12754
2024/25,13154,577,34830,1659,6775,29246,0,13222
2025/26,13104,587,35339,1708,6696,29928,0,13645
2026/27,13059,598,35856,1755,6659,30609,0,13988
2027/28,13070,609,36531,1804,6661,31300,0,14362
2028/29,13074,619,37188,1851,6658,32002,0,14741